branch,percentile_rank,metric_value
treatment-a,0.58,1736
treatment-a,0.59,1911
treatment-a,0.6,1911
treatment-a,0.61,1911
treatment-a,0.62,2104
treatment-a,0.63,2104
treatment-a,0.64,2316
treatment-a,0.65,2316
treatment-a,0.66,2549
treatment-a,0.67,2549
treatment-a,0.68,2549
treatment-a,0.69,2806
treatment-a,0.7,3089
treatment-a,0.71,3089
treatment-a,0.72,3400
treatment-a,0.73,3400
treatment-a,0.74,3743
treatment-a,0.75,4120
treatment-a,0.76,4120
treatment-a,0.77,4120
treatment-a,0.78,4535
treatment-a,0.79,4992
treatment-a,0.8,4992
treatment-a,0.81,5495
treatment-a,0.82,6049
treatment-a,0.83,6659
treatment-a,0.84,7330
treatment-a,0.85,8882
treatment-a,0.86,10762
treatment-a,0.87,10762
treatment-a,0.88,10762
treatment-a,0.89,13040
treatment-a,0.9,13040
treatment-a,0.91,15800
treatment-a,0.92,19144
treatment-a,0.93,19144
treatment-a,0.94,23196
treatment-a,0.95,28106
treatment-a,0.96,28106
treatment-a,0.97,34056
treatment-a,0.98,41265
treatment-a,0.99,50000
