percentile_rank,metric_value,branch
0.17,369.0,treatment-b
0.18,388.0,treatment-b
0.19,407.0,treatment-b
0.2,425.0,treatment-b
0.21,443.0,treatment-b
0.22,461.0,treatment-b
0.23,478.0,treatment-b
0.24,496.0,treatment-b
0.25,513.0,treatment-b
0.26,530.0,treatment-b
0.27,548.0,treatment-b
0.28,566.0,treatment-b
0.29,583.0,treatment-b
0.3,600.0,treatment-b
0.31,617.0,treatment-b
0.32,635.0,treatment-b
0.33,654.0,treatment-b
0.34,672.0,treatment-b
0.35,690.0,treatment-b
0.36,709.0,treatment-b
0.37,728.0,treatment-b
0.38,747.0,treatment-b
0.39,767.0,treatment-b
0.4,788.0,treatment-b
0.41,809.0,treatment-b
0.42,830.0,treatment-b
0.43,853.0,treatment-b
0.44,875.0,treatment-b
0.45,899.0,treatment-b
0.46,924.0,treatment-b
0.47,948.0,treatment-b
0.48,974.0,treatment-b
0.49,998.0,treatment-b
0.5,1025.0,treatment-b
0.51,1052.0,treatment-b
0.52,1080.0,treatment-b
0.53,1108.0,treatment-b
0.54,1136.0,treatment-b
0.55,1167.0,treatment-b
0.56,1197.0,treatment-b
0.57,1228.0,treatment-b
0.58,1258.0,treatment-b
0.59,1293.0,treatment-b
0.6,1326.0,treatment-b
0.61,1361.0,treatment-b
0.62,1396.0,treatment-b
0.63,1434.0,treatment-b
0.64,1473.0,treatment-b
0.65,1512.0,treatment-b
0.66,1553.0,treatment-b
0.67,1595.0,treatment-b
0.68,1638.0,treatment-b
0.69,1684.0,treatment-b
0.7,1731.0,treatment-b
0.71,1780.0,treatment-b
0.72,1833.0,treatment-b
0.73,1889.0,treatment-b
0.74,1947.0,treatment-b
0.75,2005.0,treatment-b
0.76,2068.0,treatment-b
0.77,2135.0,treatment-b
0.78,2209.0,treatment-b
0.79,2283.0,treatment-b
0.8,2365.0,treatment-b
0.81,2446.0,treatment-b
0.82,2531.0,treatment-b
0.83,2627.0,treatment-b
0.84,2723.0,treatment-b
0.85,2840.0,treatment-b
0.86,2965.0,treatment-b
0.87,3098.0,treatment-b
0.88,3245.0,treatment-b
0.89,3407.0,treatment-b
0.9,3598.0,treatment-b
0.91,3809.0,treatment-b
0.92,4074.0,treatment-b
0.93,4389.0,treatment-b
0.94,4794.0,treatment-b
0.95,5302.0,treatment-b
0.96,6046.0,treatment-b
0.97,7052.0,treatment-b
0.98,8795.0,treatment-b
0.99,12591.0,treatment-b
1.0,760679.0,treatment-b
