percentile_rank,metric_value,branch
0.2,452.0,treatment-b
0.21,469.0,treatment-b
0.22,485.0,treatment-b
0.23,501.0,treatment-b
0.24,518.0,treatment-b
0.25,533.0,treatment-b
0.26,550.0,treatment-b
0.27,566.0,treatment-b
0.28,582.0,treatment-b
0.29,597.0,treatment-b
0.3,614.0,treatment-b
0.31,630.0,treatment-b
0.32,647.0,treatment-b
0.33,663.0,treatment-b
0.34,681.0,treatment-b
0.35,698.0,treatment-b
0.36,716.0,treatment-b
0.37,734.0,treatment-b
0.38,753.0,treatment-b
0.39,771.0,treatment-b
0.4,791.0,treatment-b
0.41,811.0,treatment-b
0.42,832.0,treatment-b
0.43,853.0,treatment-b
0.44,875.0,treatment-b
0.45,897.0,treatment-b
0.46,920.0,treatment-b
0.47,943.0,treatment-b
0.48,968.0,treatment-b
0.49,993.0,treatment-b
0.5,1019.0,treatment-b
0.51,1045.0,treatment-b
0.52,1072.0,treatment-b
0.53,1100.0,treatment-b
0.54,1129.0,treatment-b
0.55,1158.0,treatment-b
0.56,1189.0,treatment-b
0.57,1220.0,treatment-b
0.58,1252.0,treatment-b
0.59,1285.0,treatment-b
0.6,1319.0,treatment-b
0.61,1354.0,treatment-b
0.62,1391.0,treatment-b
0.63,1427.0,treatment-b
0.64,1467.0,treatment-b
0.65,1507.0,treatment-b
0.66,1549.0,treatment-b
0.67,1593.0,treatment-b
0.68,1638.0,treatment-b
0.69,1684.0,treatment-b
0.7,1733.0,treatment-b
0.71,1785.0,treatment-b
0.72,1839.0,treatment-b
0.73,1896.0,treatment-b
0.74,1955.0,treatment-b
0.75,2018.0,treatment-b
0.76,2083.0,treatment-b
0.77,2154.0,treatment-b
0.78,2229.0,treatment-b
0.79,2309.0,treatment-b
0.8,2393.0,treatment-b
0.81,2485.0,treatment-b
0.82,2584.0,treatment-b
0.83,2690.0,treatment-b
0.84,2803.0,treatment-b
0.85,2929.0,treatment-b
0.86,3067.0,treatment-b
0.87,3213.0,treatment-b
0.88,3379.0,treatment-b
0.89,3560.0,treatment-b
0.9,3774.0,treatment-b
0.91,4012.0,treatment-b
0.92,4298.0,treatment-b
0.93,4640.0,treatment-b
0.94,5072.0,treatment-b
0.95,5691.0,treatment-b
0.96,6497.0,treatment-b
0.97,7744.0,treatment-b
0.98,9806.0,treatment-b
0.99,15130.0,treatment-b
