percentile_rank,metric_value,branch
0.18,418.0,treatment-b
0.19,434.0,treatment-b
0.2,451.0,treatment-b
0.21,466.0,treatment-b
0.22,483.0,treatment-b
0.23,498.0,treatment-b
0.24,514.0,treatment-b
0.25,530.0,treatment-b
0.26,546.0,treatment-b
0.27,562.0,treatment-b
0.28,578.0,treatment-b
0.29,594.0,treatment-b
0.3,610.0,treatment-b
0.31,627.0,treatment-b
0.32,644.0,treatment-b
0.33,661.0,treatment-b
0.34,678.0,treatment-b
0.35,696.0,treatment-b
0.36,714.0,treatment-b
0.37,732.0,treatment-b
0.38,751.0,treatment-b
0.39,771.0,treatment-b
0.4,791.0,treatment-b
0.41,811.0,treatment-b
0.42,833.0,treatment-b
0.43,854.0,treatment-b
0.44,877.0,treatment-b
0.45,900.0,treatment-b
0.46,925.0,treatment-b
0.47,948.0,treatment-b
0.48,974.0,treatment-b
0.49,999.0,treatment-b
0.5,1027.0,treatment-b
0.51,1053.0,treatment-b
0.52,1082.0,treatment-b
0.53,1110.0,treatment-b
0.54,1140.0,treatment-b
0.55,1170.0,treatment-b
0.56,1201.0,treatment-b
0.57,1233.0,treatment-b
0.58,1266.0,treatment-b
0.59,1300.0,treatment-b
0.6,1333.0,treatment-b
0.61,1369.0,treatment-b
0.62,1405.0,treatment-b
0.63,1444.0,treatment-b
0.64,1482.0,treatment-b
0.65,1523.0,treatment-b
0.66,1567.0,treatment-b
0.67,1610.0,treatment-b
0.68,1657.0,treatment-b
0.69,1704.0,treatment-b
0.7,1756.0,treatment-b
0.71,1807.0,treatment-b
0.72,1865.0,treatment-b
0.73,1922.0,treatment-b
0.74,1984.0,treatment-b
0.75,2049.0,treatment-b
0.76,2120.0,treatment-b
0.77,2193.0,treatment-b
0.78,2271.0,treatment-b
0.79,2353.0,treatment-b
0.8,2439.0,treatment-b
0.81,2537.0,treatment-b
0.82,2636.0,treatment-b
0.83,2750.0,treatment-b
0.84,2866.0,treatment-b
0.85,2999.0,treatment-b
0.86,3135.0,treatment-b
0.87,3291.0,treatment-b
0.88,3458.0,treatment-b
0.89,3647.0,treatment-b
0.9,3856.0,treatment-b
0.91,4106.0,treatment-b
0.92,4396.0,treatment-b
0.93,4743.0,treatment-b
0.94,5226.0,treatment-b
0.95,5844.0,treatment-b
0.96,6697.0,treatment-b
