branch,percentile_rank,metric_value
control,0.38,977
control,0.39,1075
control,0.4,1075
control,0.41,1075
control,0.42,1075
control,0.43,1183
control,0.44,1183
control,0.45,1183
control,0.46,1302
control,0.47,1302
control,0.48,1302
control,0.49,1302
control,0.5,1433
control,0.51,1433
control,0.52,1433
control,0.53,1433
control,0.54,1577
control,0.55,1577
control,0.56,1577
control,0.57,1736
control,0.58,1736
control,0.59,1736
control,0.6,1736
control,0.61,1911
control,0.62,1911
control,0.63,1911
control,0.64,1911
control,0.65,2104
control,0.66,2104
control,0.67,2104
control,0.68,2104
control,0.69,2316
control,0.7,2316
control,0.71,2316
control,0.72,2316
control,0.73,2549
control,0.74,2549
control,0.75,2549
control,0.76,2806
control,0.77,2806
control,0.78,2806
control,0.79,3089
control,0.8,3089
control,0.81,3400
control,0.82,3400
control,0.83,3400
control,0.84,3743
control,0.85,3743
control,0.86,4120
control,0.87,4120
control,0.88,4535
control,0.89,4535
control,0.9,4992
control,0.91,5495
control,0.92,6049
control,0.93,6659
control,0.94,7330
control,0.95,8069
control,0.96,8882
control,0.97,10762
control,0.98,14354
control,0.99,23196
